Scientific Name,Common Name,Family,Taxonomic Group
Neodon sikimensis,Sikkim Mountain Vole,Cricetidae,Mammals
Felis chaus,Jungle Cat,Felidae,Mammals
Vulpes ferrilata,Tibetan Fox,Canidae,Mammals
Rhinopoma hardwickii,Lesser Mouse-Tailed Bat,Rhinopomatidae,Mammals
Platanista gangetica,Ganges River Dolphin,Platanistidae,Mammals
Niviventer niviventer,Himalayan White-Bellied Rat,Muridae,Mammals
Ratufa bicolor,Black Giant Squirrel,Sciuridae,Mammals
Macaca mulatta,Rhesus Monkey,Cercopithecidae,Mammals
Dremomys lokriah,Orange Bellied Himalayan Squirrel,Sciuridae,Mammals
Bubalus arnee,Asian Buffalo,Bovidae,Mammals
Mustela kathiah,Yellow-Bellied Weasel,Mustelidae,Mammals
Lutrogale perspicillata,Smooth Coated Otter,Mustelidae,Mammals
Hylopetes alboniger,African Linsang,Sciuridae,Mammals
Mustela sibirica,Siberian Weasel,Mustelidae,Mammals
Ochotona macrotis,Large-Eared Pika,Ochotonidae,Mammals
Melogale personata,Burmese Ferret Badger,Mustelidae,Mammals
Semnopithecus hector,Tarai Gray Langur,Cercopithecidae,Mammals
Murina tubinaris,Scully's Tube Nosed Bat,Vespertilionidae,Mammals
Myotis siligorensis,Himalayan Whiskered Bat,Vespertilionidae,Mammals
Rhinolophus affinis,Intermediate Horseshoe Bat,Rhinolophidae,Mammals
Mellivora capensis,Honey Badger,Mustelidae,Mammals
Episoriculus macrurus,Arboreal Brown-Toothed Shrew,Soricidae,Mammals
Suncus murinus,House Shrew,Soricidae,Mammals
Semnopithecus schistaceus,Nepal Gray Langur,Cercopithecidae,Mammals
Rattus pyctoris,Himalayan Rat,Muridae,Mammals
Harpiocephalus harpia,Lesser Hairy-Winged Bat,Vespertilionidae,Mammals
Phaiomys leucurus,Blyth's Vole,Cricetidae,Mammals
Vulpes bengalensis,Bengal Fox,Canidae,Mammals
Leopoldamys edwardsi,Edward’S Rat,Muridae,Mammals
Lepus nigricollis,Indian Hare,Leporidae,Mammals
Rhinolophus macrotis,Big Eared Horseshoe Bat,Rhinolophidae,Mammals
Rhinolophus rouxii,Rufous Horseshoe Bat,Rhinolophidae,Mammals
Capricornis thar,Himalayan Serow,Bovidae,Mammals
Pardofelis marmorata,Marbled Cat,Felidae,Mammals
Procapra picticaudata,Goa,Bovidae,Mammals
Melursus ursinus,Sloth Bear,Ursidae,Mammals
Cannomys badius,Lesser Bamboo Rat,Spalacidae,Mammals
Ochotona curzoniae,Plateau Pika,Ochotonidae,Mammals
Eptesicus pachyotis,Thick Eared Bat,Vespertilionidae,Mammals
Suncus stoliczkanus,Anderson's Shrew,Soricidae,Mammals
Petaurista elegans,Spotted Giant Flying Squirrel,Sciuridae,Mammals
Canis aureus,Golden Jackal,Canidae,Mammals
Dacnomys millardi,Millard's Rat,Muridae,Mammals
Myotis muricola,Nepalese Whiskered Bat,Vespertilionidae,Mammals
Cricetulus lama,Lama Dwarf Hamster,Cricetidae,Mammals
Ovis ammon,Argali,Bovidae,Mammals
Catopuma temminckii,Temminck's Golden Cat,Felidae,Mammals
Paguma larvata,Masked Palm Civet,Viverridae,Mammals
Megaerops niphanae,Ratanaworabhan's Fruit Bat,Pteropodidae,Mammals
Rhinolophus sinicus,Chinese Horseshoe Bat,Rhinolophidae,Mammals
Pipistrellus tenuis,Least Pipistrelle,Vespertilionidae,Mammals
Arctictis binturong,Bearcat,Viverridae,Mammals
Ailurus fulgens,Red Panda,Ailuridae,Mammals
Tylonycteris pachypus,Lesser Bamboo Bat,Vespertilionidae,Mammals
Antilope cervicapra,Blackbuck,Bovidae,Mammals
Episoriculus leucops,Long-Tailed Brown-Toothed Shrew,Soricidae,Mammals
Mustela altaica,Mountain Weasel,Mustelidae,Mammals
Tamiops macclellandii,Himalayan Striped Squirrel,Sciuridae,Mammals
Niviventer eha,Little Himalayan Rat,Muridae,Mammals
Tetracerus quadricornis,Four Horned Antelope,Bovidae,Mammals
Mus booduga,Common Indian Field Mouse,Muridae,Mammals
Mus saxicola,Brown Spiny Mouse,Muridae,Mammals
Rattus nitidus,Himalayan Field Rat,Muridae,Mammals
Prionailurus viverrinus,Fishing Cat,Felidae,Mammals
Rucervus duvaucelii,Swamp Deer,Cervidae,Mammals
Rusa unicolor,Sambar Deer,Cervidae,Mammals
Herpestes edwardsii,Indian Gray Mongoose,Herpestidae,Mammals
Alticola roylei,Royle's Mountain Vole,Cricetidae,Mammals
Tupaia belangeri,Northern Treeshrew,Tupaiidae,Mammals
Kerivoula picta,Painted Bat,Vespertilionidae,Mammals
Ursus thibetanus,Asian Black Bear,Ursidae,Mammals
Moschus leucogaster,Himalayan Muskdeer,Moschidae,Mammals
Belomys pearsonii,Hairy Footed Flying Squirrel,Sciuridae,Mammals
Coelops frithii,Tail-Less Leaf-Nosed Bat,Hipposideridae,Mammals
Lutra lutra,European Otter,Mustelidae,Mammals
Scotozous dormeri,Dormer's Bat,Vespertilionidae,Mammals
Hipposideros lankadiva,Indian Roundleaf Bat,Hipposideridae,Mammals
Megaderma lyra,Greater False Vampire Bat,Megadermatidae,Mammals
Suncus etruscus,Etruscan Shrew,Soricidae,Mammals
Philetor brachypterus,Rohu's Bat,Vespertilionidae,Mammals
Eonycteris spelaea,Dawn Bat,Pteropodidae,Mammals
Murina aurata,Little Tube Nosed Bat,Vespertilionidae,Mammals
Bandicota indica,Greater Bandicoot Rat,Muridae,Mammals
Ursus arctos,Grizzly Bear,Ursidae,Mammals
Prionodon pardicolor,Spotted Linsang,Viverridae,Mammals
Ochotona thibetana,Moupin Pika,Ochotonidae,Mammals
Hesperoptenus tickelli,Tickell's Bat,Vespertilionidae,Mammals
Scotophilus kuhlii,Lesser Asiatic Yellow Bat,Vespertilionidae,Mammals
Callosciurus pygerythrus,Irrawaddy Squirrel,Sciuridae,Mammals
Rousettus leschenaultii,Leschenault's Rousette,Pteropodidae,Mammals
Moschus chrysogaster,Alpine Musk Deer,Moschidae,Mammals
Taphozous longimanus,Longed-Winged Tomb Bat,Emballonuridae,Mammals
Hyaena hyaena,Striped Hyaena,Hyaenidae,Mammals
Bos gaurus,Indian Bison,Bovidae,Mammals
Scotomanes ornatus,Harlequin Bat,Vespertilionidae,Mammals
Funambulus pennantii,Northern Palm Squirrel,Sciuridae,Mammals
Alticola stoliczkanus,Stoliczka's Mountain Vole,Cricetidae,Mammals
Apodemus gurkha,Himalayan Wood Mouse,Muridae,Mammals
Vandeleuria oleracea,Indomalayan Vandeleuria,Muridae,Mammals
Crocidura attenuata,Asian Gray Shrew,Soricidae,Mammals
Hemitragus jemlahicus,Himalayan Tahr,Bovidae,Mammals
Scotoecus pallidus,Desert Yellow Bat,Vespertilionidae,Mammals
Episoriculus caudatus,Hodgson's Brown-Toothed Shrew,Soricidae,Mammals
Rattus tanezumi,Oriental House Rat,Muridae,Mammals
Hystrix brachyura,Malayan Porcupine,Hystricidae,Mammals
Axis axis,Chital,Cervidae,Mammals
Apodemus pallipes,Himalayan Field Mouse,Muridae,Mammals
Panthera pardus,Leopard,Felidae,Mammals
Mus terricolor,Earth Colored Mouse,Muridae,Mammals
Rhinolophus lepidus,Blyth's Horseshoe Bat,Rhinolophidae,Mammals
Myotis longipes,Kashmir Cave Bat,Vespertilionidae,Mammals
Axis porcinus,Hog Deer,Cervidae,Mammals
Rhinolophus pusillus,Least Horseshoe Bat,Rhinolophidae,Mammals
Euroscaptor micrura,Himalayan Mole,Talpidae,Mammals
Paradoxurus hermaphroditus,Asian Palm Civet,Viverridae,Mammals
Pipistrellus coromandra,Indian Pipistrelle,Vespertilionidae,Mammals
Crocidura horsfieldii,Horsefield's Shrew,Soricidae,Mammals
Niviventer fulvescens,Indomalayan Niviventer,Muridae,Mammals
Myotis annectans,Hairy Faced Bat,Vespertilionidae,Mammals
Ochotona nubrica,Nubra Pika,Ochotonidae,Mammals
Hipposideros fulvus,Fulvus Roundleaf Bat,Hipposideridae,Mammals
Macaca assamensis,Assam Macaque,Cercopithecidae,Mammals
Sorex bedfordiae,Lesser Stripe-Backed Shrew,Soricidae,Mammals
Myotis sicarius,Mandelli's Mouse-Eared Myotis,Vespertilionidae,Mammals
Viverra zibetha,Large Indian Civet,Viverridae,Mammals
Hipposideros armiger,Great Roundleaf Bat,Hipposideridae,Mammals
Petaurista magnificus,Hodgson's Giant Flying Squirrel,Sciuridae,Mammals
Diomys crumpi,Crump's Mouse,Muridae,Mammals
Nectogale elegans,Elegant Water Shrew,Soricidae,Mammals
Chimarrogale himalayica,Himalayan Water Shrew,Soricidae,Mammals
Sphaerias blanfordi,Blandford's Fruit Bat,Pteropodidae,Mammals
Macroglossus sobrinus,Greater Nectar Bat,Pteropodidae,Mammals
Pipistrellus cadornae,Cadorna's Pipistrelle,Vespertilionidae,Mammals
Hipposideros pomona,Pomona Roundleaf Bat,Hipposideridae,Mammals
Mus pahari,Gairdner's Shrewmouse,Muridae,Mammals
Herpestes urva,Crab Eating Mongoose,Herpestidae,Mammals
Rattus rattus,Black Rat,Muridae,Mammals
Petaurista nobilis,Bhutan Giant Flying Squirrel,Sciuridae,Mammals
Mustela strigidorsa,Back Striped Weasel,Mustelidae,Mammals
Scotophilus heathii,Greater Asiatic Yellow House Bat,Vespertilionidae,Mammals
Tadarida teniotis,European Free-Tailed Bat,Molossidae,Mammals
Muntiacus gongshanensis,Gongshan Muntjac,Cervidae,Mammals
Panthera uncia,Snow Leopard,Felidae,Mammals
Rhinolophus subbadius,Little Nepalese Horseshoe Bat,Rhinolophidae,Mammals
Tatera indica,Indian Gerbil,Muridae,Mammals
Hipposideros cineraceus,Ashy Roundleaf Bat,Hipposideridae,Mammals
Martes foina,Stone Marten,Mustelidae,Mammals
Nyctalus montanus,Mountain Noctule,Vespertilionidae,Mammals
Murina huttoni,Hutton's Tube Nosed Bat,Vespertilionidae,Mammals
Moschiola indica,Indian Chevrotain,Tragulidae,Mammals
Panthera tigris,Tiger,Felidae,Mammals
Neofelis nebulosa,Clouded Leopard,Felidae,Mammals
Viverricula indica,Small Indian Civet,Viverridae,Mammals
Mus cervicolor,Fawn-Colored Mouse,Muridae,Mammals
Elephas maximus,Asian Elephant,Elephantidae,Mammals
Herpestes auropunctatus,Small Indian Mongoose,Herpestidae,Mammals
Sus scrofa,Wild Boar,Suidae,Mammals
Soriculus nigrescens,Himalayan Shrew,Soricidae,Mammals
Pteropus giganteus,Indian Flying Fox,Pteropodidae,Mammals
Rhinolophus ferrumequinum,Greater Horseshoe Bat,Rhinolophidae,Mammals
Falsistrellus affinis,Chocolate Pipistrelle,Vespertilionidae,Mammals
Anourosorex schmidi,Giant Mole Shrew,Soricidae,Mammals
Millardia meltada,Soft-Furred Metad,Muridae,Mammals
Myotis blythii,Lesser Mouse-Eared Bat,Vespertilionidae,Mammals
Eptesicus tatei,Sombre Bat,Vespertilionidae,Mammals
Callosciurus erythraeus,Pallas's Squirrel,Sciuridae,Mammals
Nyctalus leisleri,Leisler's Bat,Vespertilionidae,Mammals
Naemorhedus goral,Himalayan Goral,Bovidae,Mammals
Eptesicus dimissus,Surat Serotine,Vespertilionidae,Mammals
Cricetulus tibetanus,Tibetan Dwarf Hamster,Cricetidae,Mammals
Cynopterus sphinx,Greater Shortnosed Fruit Bat,Pteropodidae,Mammals
Pipistrellus javanicus,Javan Pipistrelle,Vespertilionidae,Mammals
Rhinolophus trifoliatus,Trefoil Horseshoe Bat,Rhinolophidae,Mammals
Myotis nipalensis,Nepal Myotis,Vespertilionidae,Mammals
Muntiacus vaginalis,Northern Red Muntjac,Cervidae,Mammals
Barbastella leucomelas,Asian Barbastelle,Vespertilionidae,Mammals
Pseudois nayaur,Bharal,Bovidae,Mammals
Bandicota bengalensis,Lesser Bandicoot Rat,Muridae,Mammals
Rhinoceros unicornis,Indian Rhinoceros,Rhinocerotidae,Mammals
Marmota himalayana,Himalayan Marmot,Sciuridae,Mammals
Prionailurus rubiginosus,Rusty Spotted Cat,Felidae,Mammals
Mus cookii,Cook's Mouse,Muridae,Mammals
Murina cyclotis,Round Eared Tube Nosed Bat,Vespertilionidae,Mammals
Moschus fuscus,Black Musk Deer,Moschidae,Mammals
Rhinolophus luctus,Great Woolly Horsehoe Bat,Rhinolophidae,Mammals
Martes flavigula,Yellow Throated Marten,Mustelidae,Mammals
Manis crassicaudata,Indian Pangolin,Manidae,Mammals
Lepus oiostolus,Woolly Hare,Leporidae,Mammals
Sorex excelsus,Highland Shrew,Soricidae,Mammals
Cricetulus alticola,Tibetan Dwarf Hamster,Cricetidae,Mammals
Manis pentadactyla,Chinese Pangolin,Manidae,Mammals
Prionailurus bengalensis,Leopard Cat,Felidae,Mammals
Golunda ellioti,Indian Bush Rat,Muridae,Mammals
Rattus andamanensis,Indochinese Forest Rat,Muridae,Mammals
Myotis formosus,Hodgson's Bat,Vespertilionidae,Mammals
Caprolagus hispidus,Hispid Hare,Leporidae,Mammals
Myotis csorbai,Csorba's Mouse Eared Myotis,Vespertilionidae,Mammals
Ochotona roylei,Royle's Pika,Ochotonidae,Mammals
Nesokia indica,Short Tailed Bandicoot Rat,Muridae,Mammals
Canis lupus,Wolf,Canidae,Mammals
Ia io,Great Evening Bat,Vespertilionidae,Mammals
Equus kiang,Kiang,Equidae,Mammals
Arielulus circumdatus,Black Gilded Pipistrelle,Vespertilionidae,Mammals
Rhinolophus pearsonii,Pearson's Horseshoe Bat,Rhinolophidae,Mammals
Boselaphus tragocamelus,Nilgai,Bovidae,Mammals
Aonyx cinereus,null,Mustelidae,Mammals
Eptesicus serotinus,Serotine,Vespertilionidae,Mammals
Lynx lynx,Lynx,Felidae,Mammals
Petaurista petaurista,Red Giant Flying Squirrel,Sciuridae,Mammals
Hystrix indica,Indian Crested Porcupine,Hystricidae,Mammals
Cuon alpinus,Red Dog,Canidae,Mammals
Arctonyx albogularis,null,Mustelidae,Mammals
Sorex minutus,Pygmy Shrew,Soricidae,Mammals
Enhydris sieboldii,Siebold's Smooth Water Snake,Homalopsidae,Reptiles
Pseudoxenodon macrops,Big-Eyed Bamboo Snake,Colubridae,Reptiles
Oligodon juglandifer,Walnut Kukri Snake,Colubridae,Reptiles
Ahaetulla fronticincta,Burmese Vine Snake,Colubridae,Reptiles
Crocodylus palustris,Mugger Crocodile,Crocodylidae,Reptiles
Japalura tricarinata,Tricarinate Forest Agama,Agamidae,Reptiles
Typhlops diardii,Diard's Blindsnake,Typhlopidae,Reptiles
Psammophis condanarus,Sand Snake,Lamprophiidae,Reptiles
Japalura variegata,Variegated Mountain Lizard,Agamidae,Reptiles
Rhabdophis subminiatus,Red-Necked Keelback,Colubridae,Reptiles
Liopeltis rappi,Himalayan Stripe-Necked Snake,Colubridae,Reptiles
Python bivittatus,Burmese Python,Pythonidae,Reptiles
Atretium schistosum,Olive Keelback Wart Snake,Colubridae,Reptiles
Enhydris enhydris,Smooth Water Snake,Homalopsidae,Reptiles
Rhadinophis prasina,null,Colubridae,Reptiles
Boiga trigonata,Indian Gamma Snake,Colubridae,Reptiles
Trachischium guentheri,Rosebelly Worm-Eating Snake,Colubridae,Reptiles
Dendrelaphis cyanochloris,Wall's Bronzeback,Colubridae,Reptiles
Typhlops meszoelyi,Meszoely’S Blind Snake,Typhlopidae,Reptiles
Homalopsis buccata,Puff-Faced Water Snake,Homalopsidae,Reptiles
Cryptelytrops erythrurus,Redtail (Bamboo) Pit Viper,Viperidae,Reptiles
Elachistodon westermanni,Indian Egg-Eating Snake,Colubridae,Reptiles
Gavialis gangeticus,Gharial,Gavialidae,Reptiles
Japalura dasi,Agaupani Forest Agama,Agamidae,Reptiles
Protobothrops jerdonii,Jerdon’S Pitviper,Viperidae,Reptiles
Lycodon jara,Twin-Spotted Wolf Snake,Colubridae,Reptiles
Gerrhopilus oligolepis,Few-Scaled Worm Snake,Gerrhopilidae,Reptiles
Oligodon taeniolatus,Streaked Kukuri Snake,Colubridae,Reptiles
Ovophis monticola,Chinese Mountain Pit Viper,Viperidae,Reptiles
Varanus bengalensis,Bengal Monitor,Varanidae,Reptiles
Draco maculatus,Spotted Flying Dragon,Agamidae,Reptiles
Ophiophagus hannah,King Cobra,Elapidae,Reptiles
Phrynocephalus theobaldi,Theobald's Toad-Headed Agama,Agamidae,Reptiles
Amphiesma sieboldii,Sikkim Keelback,Colubridae,Reptiles
Eutropis carinata,Common Skink,Scincidae,Reptiles
Sibynophis collaris,Common Many-Tooth Snake,Colubridae,Reptiles
Boiga multifasciata,Many-Banded Tree Snake,Colubridae,Reptiles
Protobothrops mucrosquamatus,Brown Spotted Pitviper,Viperidae,Reptiles
Bungarus fasciatus,Banded Krait,Elapidae,Reptiles
Liopeltis stolickzae,null,Colubridae,Reptiles
Sitana ponticeriana,Fan Throated Lizard,Agamidae,Reptiles
Cyrtodactylus gubernatoris,Sikkimese Bent-Toed Gecko,Gekkonidae,Reptiles
Boiga forsteni,Forsten's Cat Snake,Colubridae,Reptiles
Himalayophis tibetanus,Tibetan Pit Viper,Viperidae,Reptiles
Nilssonia hurum,Indian Peacock Soft-Shelled Turtle,Trionychidae,Turtles (non-marine)
Hardella thurjii,Brahminy River Turtle,Geoemydidae,Turtles (non-marine)
Cyclemys dentata,Asian Leaf Turtle,Geoemydidae,Turtles (non-marine)
Melanochelys trijuga,Indian Pond Terrapin,Geoemydidae,Turtles (non-marine)
Pangshura tentoria,Indian Tent Turtle,Geoemydidae,Turtles (non-marine)
Pangshura tecta,Indian Roofed Turtle,Geoemydidae,Turtles (non-marine)
Melanochelys tricarinata,Tricarinate Hill Turtle,Geoemydidae,Turtles (non-marine)
Cyclemys oldhamii,Southeast Asian Leaf Turtle,Geoemydidae,Turtles (non-marine)
Lissemys punctata,Indian Flap-Shelled Turtle,Trionychidae,Turtles (non-marine)
Pangshura smithii,Brown Roofed Turtle,Geoemydidae,Turtles (non-marine)
Batagur kachuga,Red-Crowned Roofed Turtle,Geoemydidae,Turtles (non-marine)
Batagur dhongoka,Dhond Roofed Turtle,Geoemydidae,Turtles (non-marine)
Nilssonia gangetica,Ganges Soft-Shelled Turtle,Trionychidae,Turtles (non-marine)
Chitra indica,Narrow-Headed Soft-Shelled Turtle,Trionychidae,Turtles (non-marine)
Indotestudo elongata,Elongated Tortoise,Testudinidae,Turtles (non-marine)
Hylarana chitwanensis,Chitwan Frog,Ranidae,Amphibians
Sphaerotheca swani,Indian Burrowing Frog,Dicroglossidae,Amphibians
Polypedates leucomystax,Java Whipping Frog,Rhacophoridae,Amphibians
Amolops nepalicus,Marbled Sucker Frog,Ranidae,Amphibians
Ombrana sikimensis,Sikkim Asian Frog,Dicroglossidae,Amphibians
Scutiger nyingchiensis,Nyingchi Lazy Toad,Megophryidae,Amphibians
Nanorana rarica,Rara Paa Frog,Dicroglossidae,Amphibians
Amolops formosus,Assam Sucker Frog,Ranidae,Amphibians
Zakerana syhadrensis,null,Dicroglossidae,Amphibians
Amolops jaunsari,Jaunsar Stream Frog,Ranidae,Amphibians
Odorrana chloronota,Chloronate Huia Frog,Ranidae,Amphibians
Nanorana blanfordii,Blanford's Paa Frog,Dicroglossidae,Amphibians
Nanorana rostandi,Dubois' Paa Frog,Dicroglossidae,Amphibians
Rhacophorus tuberculatus,Warty Flying Frog,Rhacophoridae,Amphibians
Ichthyophis sikkimensis,Darjeeling Caecilian,Ichthyophiidae,Amphibians
Sphaerotheca breviceps,Indian Burrowing Frog,Dicroglossidae,Amphibians
Sphaerotheca maskeyi,Indian Burrowing Frog,Dicroglossidae,Amphibians
Rhacophorus maximus,Nepal Flying Frog,Rhacophoridae,Amphibians
Occidozyga lima,Lurid Houlema,Dicroglossidae,Amphibians
Uperodon systoma,Indistinct Frog,Microhylidae,Amphibians
Clinotarsus alticola,Assam Hills Frog,Ranidae,Amphibians
Megophrys parva,Burmese Spadefoot Toad,Megophryidae,Amphibians
Duttaphrynus melanostictus,Doubtful Toad,Bufonidae,Amphibians
Zakerana teraiensis,null,Dicroglossidae,Amphibians
Nanorana annandalii,Annandale's Paa Frog,Dicroglossidae,Amphibians
Nanorana polunini,Langtang Paa Frog,Dicroglossidae,Amphibians
Megophrys zhangi,Zhang's Horned Toad,Megophryidae,Amphibians
Polypedates maculatus,Himalayan Tree Frog,Rhacophoridae,Amphibians
Hylarana tytleri,Theobald's Ranid Frog,Ranidae,Amphibians
Nanorana parkeri,High Himalaya Frog,Dicroglossidae,Amphibians
Megophrys robusta,Bengal Spadefoot Toad,Megophryidae,Amphibians
Amolops gerbillus,Yembung Sucker Frog,Ranidae,Amphibians
Polypedates taeniatus,Bengal Whipping Frog,Rhacophoridae,Amphibians
Hoplobatrachus crassus,Carnatic Peters Frog,Dicroglossidae,Amphibians
Duttaphrynus himalayanus,Himalaya Toad,Bufonidae,Amphibians
Scutiger nepalensis,Nepal Lazy Toad,Megophryidae,Amphibians
Nanorana ercepeae,Torrent Paa Frog,Dicroglossidae,Amphibians
Tylototriton verrucosus,Crocodile Newt,Salamandridae,Amphibians
Microhyla ornata,Ant Frog,Microhylidae,Amphibians
Polypedates zed,Narayanghat Whipping Frog,Rhacophoridae,Amphibians
Zakerana nepalensis,null,Dicroglossidae,Amphibians
Zakerana pierrei,null,Dicroglossidae,Amphibians
Scutiger sikimmensis,Sikkim Lazy Toad,Megophryidae,Amphibians
Amolops marmoratus,Afghan Frog,Ranidae,Amphibians
Philautus jerdonii,Jerdon's Bubble-Nest Frog,Rhacophoridae,Amphibians
Theloderma asperum,Hill Garden Bug-Eyed Frog,Rhacophoridae,Amphibians
Euphlyctis hexadactylus,Indian Five-Fingered Frog,Dicroglossidae,Amphibians
Euphlyctis cyanophlyctis,Studded Frog,Dicroglossidae,Amphibians
Humerana humeralis,Bhamo Frog,Ranidae,Amphibians
Scutiger boulengeri,Boulenger's Lazy Toad,Megophryidae,Amphibians
Chiromantis dudhwaensis,Dudhwa Tree Frog,Rhacophoridae,Amphibians
Nanorana minica,Nepal Paa Frog,Dicroglossidae,Amphibians
Nanorana liebigii,Sikkim Paa Frog,Dicroglossidae,Amphibians
Odorrana mawphlangensis,Mawphlang Wart Frog,Ranidae,Amphibians
Amolops monticola,Mountain Sucker Frog,Ranidae,Amphibians
Fejervarya limnocharis,Indian Cricket Frog,Dicroglossidae,Amphibians
Duttaphrynus stomaticus,Indus Toad,Bufonidae,Amphibians
Hoplobatrachus tigerinus,Turkey Frog,Dicroglossidae,Amphibians
Charaxes kahruba,null,Nymphalidae,Butterflies
Lethe siderea,null,Nymphalidae,Butterflies
Neptis manasa,null,Nymphalidae,Butterflies
Seseria dohertyi,null,Hesperiidae,Butterflies
Celaenorrhinus ratna,null,Hesperiidae,Butterflies
Pontia daplidice,Bath White,Pieridae,Butterflies
Athyma jina,null,Nymphalidae,Butterflies
Athyma opalina,null,Nymphalidae,Butterflies
Chrysozephyrus vittatus,null,Lycaenidae,Butterflies
Tongeia potanini,null,Lycaenidae,Butterflies
Herona marathus,null,Nymphalidae,Butterflies
Colias fieldii,null,Pieridae,Butterflies
Chrysozephyrus zoa,null,Lycaenidae,Butterflies
Neptis sankara,null,Nymphalidae,Butterflies
Astictopterus jama,null,Hesperiidae,Butterflies
Anthocharis cardamines,Orange-Tip,Pieridae,Butterflies
Bibasis vasutana,null,Hesperiidae,Butterflies
Athyma orientalis,null,Nymphalidae,Butterflies
Athyma zeroca,null,Nymphalidae,Butterflies
Elymnias patna,null,Nymphalidae,Butterflies
Sephisa chandra,null,Nymphalidae,Butterflies
Athyma ranga,null,Nymphalidae,Butterflies
Teinopalpus imperialis,null,Papilionidae,Butterflies
Neozephyrus suroia,null,Lycaenidae,Butterflies
Hestinalis nama,null,Nymphalidae,Butterflies
Neptis armandia,null,Nymphalidae,Butterflies
Clanis phalaris,null,Sphingidae,Sphingid moths
Eupanacra perfecta,null,Sphingidae,Sphingid moths
Hippotion velox,null,Sphingidae,Sphingid moths
Rhagastis acuta,null,Sphingidae,Sphingid moths
Macroglossum corythus,null,Sphingidae,Sphingid moths
Hyles stroehlei,null,Sphingidae,Sphingid moths
Theretra pallicosta,null,Sphingidae,Sphingid moths
Ambulyx liturata,null,Sphingidae,Sphingid moths
Macroglossum passalus,null,Sphingidae,Sphingid moths
Amplypterus mansoni,null,Sphingidae,Sphingid moths
Macroglossum obscura,null,Sphingidae,Sphingid moths
Pentateucha curiosa,null,Sphingidae,Sphingid moths
Ambulyx moorei,null,Sphingidae,Sphingid moths
Smerinthus kindermannii,null,Sphingidae,Sphingid moths
Theretra latreillii,Pale Brown Hawk Moth,Sphingidae,Sphingid moths
Macroglossum belis,null,Sphingidae,Sphingid moths
Macroglossum bombylans,null,Sphingidae,Sphingid moths
Meganoton analis,null,Sphingidae,Sphingid moths
Psilogramma discistriga,null,Sphingidae,Sphingid moths
Hyles hippophaes,Seathorn Hawk-Moth,Sphingidae,Sphingid moths
Cechenena mirabilis,null,Sphingidae,Sphingid moths
Dahira rubiginosa,null,Sphingidae,Sphingid moths
Dahira tridens,null,Sphingidae,Sphingid moths
Leucophlebia emittens,null,Sphingidae,Sphingid moths
Marumba cristata,null,Sphingidae,Sphingid moths
Theretra lycetus,null,Sphingidae,Sphingid moths
Acosmerycoides harterti,null,Sphingidae,Sphingid moths
Pseudodolbina aequalis,null,Sphingidae,Sphingid moths
Rhagastis confusa,null,Sphingidae,Sphingid moths
Rhagastis olivacea,null,Sphingidae,Sphingid moths
Cephonodes picus,null,Sphingidae,Sphingid moths
Dahira yunnanfuana,null,Sphingidae,Sphingid moths
Macroglossum fritzei,null,Sphingidae,Sphingid moths
Psilogramma increta,null,Sphingidae,Sphingid moths
Eupanacra mydon,null,Sphingidae,Sphingid moths
Rhagastis velata,null,Sphingidae,Sphingid moths
Morwennius decoratus,null,Sphingidae,Sphingid moths
Agrius convolvuli,Convolvulus Hawk,Sphingidae,Sphingid moths
Cypa enodis,null,Sphingidae,Sphingid moths
Ampelophaga thomasi,null,Sphingidae,Sphingid moths
Macroglossum hemichroma,null,Sphingidae,Sphingid moths
Leucophlebia lineata,null,Sphingidae,Sphingid moths
Ambulyx sericeipennis,null,Sphingidae,Sphingid moths
Pseudodolbina fo,null,Sphingidae,Sphingid moths
Callambulyx poecilus,null,Sphingidae,Sphingid moths
Theretra tibetiana,null,Sphingidae,Sphingid moths
Cechenena helops,null,Sphingidae,Sphingid moths
Ambulyx substrigilis,null,Sphingidae,Sphingid moths
Macroglossum pyrrhosticta,Hummingbird Hawk Moth,Sphingidae,Sphingid moths
Hippotion echeclus,null,Sphingidae,Sphingid moths
Meganoton nyctiphanes,null,Sphingidae,Sphingid moths
Nephele hespera,null,Sphingidae,Sphingid moths
Clanis titan,null,Sphingidae,Sphingid moths
Anambulyx elwesi,null,Sphingidae,Sphingid moths
Theretra sumatrensis,null,Sphingidae,Sphingid moths
Enpinanga assamensis,null,Sphingidae,Sphingid moths
Thamnoecha uniformis,null,Sphingidae,Sphingid moths
Rhagastis gloriosa,null,Sphingidae,Sphingid moths
Hemaris fuciformis,Broad-Bordered Bee Hawkmoth,Sphingidae,Sphingid moths
Macroglossum sitiene,null,Sphingidae,Sphingid moths
Ambulyx ochracea,null,Sphingidae,Sphingid moths
Eupanacra variolosa,null,Sphingidae,Sphingid moths
Pergesa acteus,null,Sphingidae,Sphingid moths
Acherontia styx,Death's-Head Hawk Moth,Sphingidae,Sphingid moths
Hyles gallii,Galium Sphinx,Sphingidae,Sphingid moths
Hemaris saundersii,null,Sphingidae,Sphingid moths
Sataspes scotti,null,Sphingidae,Sphingid moths
Macroglossum saga,null,Sphingidae,Sphingid moths
Rhagastis albomarginatus,null,Sphingidae,Sphingid moths
Cypa decolor,null,Sphingidae,Sphingid moths
Deilephila rivularis,null,Sphingidae,Sphingid moths
Macroglossum variegatum,null,Sphingidae,Sphingid moths
