Scientific Name,Common Name,Family,Taxonomic Group
Certhia hodgsoni,Hodgson's Treecreeper,Certhiidae,Birds
Lanius vittatus,Bay-Backed Shrike,Laniidae,Birds
Pseudopodoces humilis,Tibetan Ground-Jay,Paridae,Birds
Sterna nilotica,Gull-Billed Tern,Laridae,Birds
Turnix tanki,Yellow-Legged Buttonquail,Turnicidae,Birds
Francolinus gularis,Swamp Francolin,Phasianidae,Birds
Phylloscopus affinis,Tickell's Leaf-Warbler,Sylviidae,Birds
Acrocephalus aedon,Thick-Billed Warbler,Sylviidae,Birds
Delichon dasypus,Asian House Martin,Hirundinidae,Birds
Corvus corax,Common Raven,Corvidae,Birds
Aceros nipalensis,Rufous-Necked Hornbill,Bucerotidae,Birds
Yuhina bakeri,White-Naped Yuhina,Timaliidae,Birds
Petronia xanthocollis,Chestnut-Shouldered Petronia,Passeridae,Birds
Regulus regulus,Goldcrest,Reguliidae,Birds
Turdus feae,Grey-Sided Thrush,Turdidae,Birds
Acrocephalus melanopogon,Moustached Warbler,Sylviidae,Birds
Ketupa zeylonensis,Brown Fish-Owl,Strigidae,Birds
Turdus viscivorus,Mistle Trush,Turdidae,Birds
Tarsiger hyperythrus,Rufous-Breasted Bush-Robin,Muscicapidae,Birds
Enicurus schistaceus,Slaty-Backed Forktail,Muscicapidae,Birds
Conostoma oemodium,Great Parrotbill,Timaliidae,Birds
Anastomus oscitans,Asian Openbill,Ciconiidae,Birds
Tarsiger chrysaeus,Golden Bush-Robin,Muscicapidae,Birds
Ixobrychus cinnamomeus,Cinnamon Bittern,Ardeidae,Birds
Pucrasia macrolopha,Koklass Pheasant,Phasianidae,Birds
Chrysomma altirostre,Jerdon's Babbler,Timaliidae,Birds
Netta rufina,Red-Crested Pochard,Anatidae,Birds
Phoenicurus schisticeps,White-Throated Redstart,Muscicapidae,Birds
Heterophasia gracilis,Grey Sibia,Timaliidae,Birds
Orthotomus cuculatus,Mountain Tailorbird,Sylviidae,Birds
Centropus bengalensis,Lesser Coucal,Cuculidae,Birds
Hirundo rupestris,Eurasian Crag-Martin,Hirundinidae,Birds
Apus affinis,Little Swift,Apodidae,Birds
Ficedula monileger,White-Gorgetted Flycatcher,Muscicapidae,Birds
Certhia himalayana,Bar-Tailed Treecreeper,Certhiidae,Birds
Lophophorus impejanus,Himalayan Monal,Phasianidae,Birds
Nectarinia zeylonica,Purple-Rumped Sunbird,Nectariniidae,Birds
Cyornis tickelliae,Tickell's Niltava,Muscicapidae,Birds
Garrulax ruficollis,Rufous-Necked Laughingthrush,Timaliidae,Birds
Enicurus leschenaulti,White-Crowned Forktail,Muscicapidae,Birds
Dendrocygna bicolor,Fulvous Whistling-Duck,Anatidae,Birds
Turdus naumanni,Dusky Thrush,Turdidae,Birds
Ficedula hodgsonii,Rusty-Breasted Blue Flycatcher,Muscicapidae,Birds
Gracula religiosa,Southern Grackle,Sturnidae,Birds
Pteruthius xanthochlorus,Green Shrike-Babbler,Timaliidae,Birds
Dendrocopos macei,Fulvous-Breasted Woodpecker,Picidae,Birds
Turdus ruficollis,Dark-Throated Thrush,Turdidae,Birds
Ficedula albicilla,Taiga Flycatcher,Muscicapidae,Birds
Muscicapa dauurica,Asian Brown Flycatcher,Muscicapidae,Birds
Phylloscopus cantator,Yellow-Vented Warbler,Sylviidae,Birds
Hirundo smithii,Wire-Tailed Swallow,Hirundinidae,Birds
Dendrocopos nanus,Brown-Capped Woodpecker,Picidae,Birds
Megalaima australis,Blue-Eared Barbet,Ramphastidae,Birds
Stachyris chrysaea,Golden Babbler,Timaliidae,Birds
Glaucidium brodiei,Collared Owlet,Strigidae,Birds
Turnix sylvaticus,Small Buttonquail,Turnicidae,Birds
Cuculus micropterus,Short-Winged Cuckoo,Cuculidae,Birds
Chaetornis striata,Bristled Grassbird,Sylviidae,Birds
Muscicapa ferruginea,Ferruginous Flycatcher,Muscicapidae,Birds
Larus ridibundus,Common Black-Headed Gull,Laridae,Birds
Lonchura malabarica,Indian Silverbill,Estrildidae,Birds
Ficedula westermanni,Little Pied Flycatcher,Muscicapidae,Birds
Rhipidura aureola,White-Browed Fantail,Rhipiduridae,Birds
Lanius isabellinus,Isabelline Shrike,Laniidae,Birds
Rimator malacoptilus,Long-Billed Wren-Babbler,Timaliidae,Birds
Vanellus duvaucelii,River Lapwing,Charadriidae,Birds
Indicator xanthonotus,Orange-Rumped Honeyguide,Indicatoridae,Birds
Halcyon smyrnensis,White-Throated Kingfisher,Alcedinidae,Birds
Ficedula strophiata,Orange-Gorgetted Flycatcher,Muscicapidae,Birds
Actinodura egertoni,Rusty-Fronted Barwing,Timaliidae,Birds
Pomatorhinus schisticeps,White-Browed Scimitar-Babbler,Timaliidae,Birds
Melanocorypha maxima,Long-Billed Calandra Lark,Alaudidae,Birds
Cursorius coromandelicus,Indian Courser,Glareolidae,Birds
Esacus recurvirostris,Great Stone-Plover,Burhinidae,Birds
Dendrocopos mahrattensis,Yellow-Crowned Woodpecker,Picidae,Birds
Alcedo atthis,Common Kingfisher,Alcedinidae,Birds
Cursorius cursor,Cream-Colored Courser,Glareolidae,Birds
Porzana fusca,Ruddy-Breasted Crake,Rallidae,Birds
Aethopyga nipalensis,Green-Tailed Sunbird,Nectariniidae,Birds
Rynchops albicollis,Indian Skimmer,Laridae,Birds
Phylloscopus occipitalis,Western Crowned Warbler,Sylviidae,Birds
Pitta sordida,Hooded Pitta,Pittidae,Birds
Aviceda leuphotes,Black Baza,Accipitridae,Birds
Pomatorhinus ferruginosus,Coral-Billed Scimitar-Babbler,Timaliidae,Birds
Psittacula eupatria,Alexandrine Parakeet,Psittacidae,Birds
Sarkidiornis melanotos,Comb Duck,Anatidae,Birds
Ephippiorhynchus asiaticus,Black-Necked Stork,Ciconiidae,Birds
Anas strepera,Gadwall,Anatidae,Birds
Arachnothera longirostra,Little Spiderhunter,Nectariniidae,Birds
Dinopium shorii,Himalayan Flameback,Picidae,Birds
Parus xanthogenys,Black-Lored Tit,Paridae,Birds
Spilornis cheela,Crested Serpent-Eagle,Accipitridae,Birds
Anthus cervinus,Red-Throated Pipit,Motacillidae,Birds
Macronous gularis,Striped Tit-Babbler,Timaliidae,Birds
Zoothera mollissima,Plain-Backed Thrush,Turdidae,Birds
Minla cyanouroptera,Blue-Winged Minla,Timaliidae,Birds
Tetraogallus tibetanus,Tibetan Snowcock,Phasianidae,Birds
Carpodacus thura,White-Browed Rosefinch,Fringillidae,Birds
Aethopyga ignicauda,Fire-Tailed Sunbird,Nectariniidae,Birds
Turdus merula,Blackbird,Turdidae,Birds
Garrulax ocellatus,White-Spotted Laughingthrush,Timaliidae,Birds
Apus pacificus,Fork-Tailed Swift,Apodidae,Birds
Turdus boulboul,Grey-Winged Blackbird,Turdidae,Birds
